image,text,pattern_type,state,city,district_number,series,registration_number,layout,font,augmentation_level,render_sha256
images/plate_000024.png,एमपी३९आर०४६,short_state,मध्य प्रदेश,,३९,आर,०४६,one_line,DevanagariMT.ttc#1,mild,dccc7280f49318f909e93179d8c4ddbfbf93d9616f906e1619cce84a603fc888
images/plate_000025.png,हिमाचल प्रदेश६७ओजे७०२५,full_state,हिमाचल प्रदेश,,६७,ओजे,७०२५,one_line,DevanagariMT.ttc#0,difficult,856cc565bb0dd89be4864e9256d31329a068c1b10ee853cc870e2fcf6570e6ef
images/plate_000026.png,सीजी२९आईई१६९,short_state,छत्तीसगढ़,,२९,आईई,१६९,one_line,Shree714.ttc#3,clean,4996f4b2be8f189cc597c6528f238502b7f854c4a5ad4552ff6e93e2152a7df8
images/plate_000027.png,एमएल ४२ एसी ९४२४,short_state,मेघालय,,४२,एसी,९४२४,one_line,ITFDevanagari.ttc#3,clean,073a2290a1796a464bd43444f19b0eb52614aec6a35ea507f744c8e55a1d759f
images/plate_000028.png,मिजोरम५३वीडी५४०३,full_state,मिजोरम,,५३,वीडी,५४०३,one_line,ITFDevanagari.ttc#7,medium,80f53fd5b404423583569af06b8675be484f24fa649aa5afaa5d746b075de879
images/plate_000029.png,यूपी १६ यू ३९२०,short_state,उत्तर प्रदेश,,१६,यू,३९२०,one_line,Arial Unicode.ttf,clean,9ab0c7b86a225fda19cd082e8afd1158b81bf11576995e942689fa9a0d9201da
images/plate_000030.png,मैसूर९१पीपी९०३१,city,कर्नाटक,मैसूर,९१,पीपी,९०३१,one_line,DevanagariMT.ttc#1,clean,1719f172dcb8f67367e223f62d1e88d5f80faf7fc18c94380433d83ee95653cb
images/plate_000031.png,दादरा और नगर हवेली और दमन और दीव७५पीई७९३५,full_state,दादरा और नगर हवेली और दमन और दीव,,७५,पीई,७९३५,one_line,ITFDevanagari.ttc#9,clean,4708d823ba33c2217152730c4127f9cf9e84f724774cf490000b313082ae82d9
images/plate_000032.png,सीएच ५० ज़ेडयू ८११५,short_state,चंडीगढ़,,५०,ज़ेडयू,८११५,one_line,Shree714.ttc#3,clean,79fdc2bd1420cb0d31f5b9a758b32b745871eba42f8376bf3e7ccca058068857
images/plate_000033.png,जीए-६१-आईके-६५१२,short_state,गोवा,,६१,आईके,६५१२,one_line,Shree714.ttc#2,clean,099c96185923046fed0d230c1ffae2d57339bbae9987da9c4e93998da30332b8
images/plate_000034.png,कर्नाटक ३०-एनडी १६४६,full_state,कर्नाटक,,३०,एनडी,१६४६,one_line,ITFDevanagari.ttc#4,clean,723008969c153b01aa38e89f5cf5876e3e98c6179ef73ceecdf14a334128c7e4
images/plate_000035.png,टीएन३१एसई४१६१,short_state,तमिलनाडु,,३१,एसई,४१६१,one_line,ITFDevanagari.ttc#9,mild,a50cc4c4bc7cca9059198312c1179a1f24bd6b8e306c2d21b376839c9e414faa
images/plate_000036.png,यूके ०७ एक्सपी ४६८९,short_state,उत्तराखंड,,०७,एक्सपी,४६८९,two_line,ITFDevanagari.ttc#6,medium,1fa5996644501744da30472cd7a8eee586b11488a06ae2ea9e3dc5c1e3964af5
images/plate_000037.png,जेएच ६२ जेएक्स १८८६,short_state,झारखंड,,६२,जेएक्स,१८८६,one_line,ITFDevanagari.ttc#2,mild,217b420c596504d0d0f550ce0df46831b3c63547b30c92cb4387c4ad72ae7351
images/plate_000038.png,थौबल १८ बी ८०७१,city,मणिपुर,थौबल,१८,बी,८०७१,one_line,ITFDevanagari.ttc#9,mild,4fd402470562ef99f5dc786fb484b66963d9262daff2a4041d0c38413042fa4c
images/plate_000039.png,चंफाई ०३४९,city,मिजोरम,चंफाई,८५,यू,०३४९,two_line,Shree714.ttc#3,clean,f599d9651c4239b11c0e4fcfad2ca8a7bae5bd3b2745efbe1ffbf54e484ad9ba
images/plate_000040.png,पीबी २३ ए ३६६,short_state,पंजाब,,२३,ए,३६६,two_line,ITFDevanagari.ttc#5,clean,c2f687aa39e47fcfc7fcc84c1e04b3d953095016faaa7656b0d14bc9fdf1c35b
images/plate_000041.png,अगत्ती ०६ वीक्यू ०५१०,city,लक्षद्वीप,अगत्ती,०६,वीक्यू,०५१०,one_line,DevanagariMT.ttc#0,clean,23bee1e30ff3c5ab7525e6131a443911639490c165b067aece9fd0cd495ecd28
images/plate_000042.png,केएल ७७ ओक्यू १६२४,short_state,केरल,,७७,ओक्यू,१६२४,one_line,Shree714.ttc#2,clean,2d5f554df52392ef657b92908e4afbeef438f135153a447bbe30808b7b593749
images/plate_000043.png,रांची २० पीसी ०८७,city,झारखंड,रांची,२०,पीसी,०८७,one_line,DevanagariMT.ttc#1,clean,2c8f0c2d274419a7eee5298bbe5e22f1aac776c10ddaef0adbe50d8dacbf6bda
images/plate_000044.png,जेके ०७ टीजे ९४६८,short_state,जम्मू और कश्मीर,,०७,टीजे,९४६८,two_line,Shree714.ttc#0,clean,fdf04726174aa3cea0ae7b2356dabefce8ec69ce4b10eba9bb0f646df0bd36cd
images/plate_000045.png,पोलिस ४३८१,government,त्रिपुरा,,७२,वी,४३८१,one_line,ITFDevanagari.ttc#5,clean,9bbc9a839e0b84d9383ddeec2187c10214874359af58f94ae1eb57280cd0bb84
images/plate_000046.png,एचआर५४एफएल५३१४,short_state,हरियाणा,,५४,एफएल,५३१४,one_line,Devanagari Sangam MN.ttc#1,clean,ab353688e2594e55ec84dcc69235c634cec1863c4ccb6eebd9835f74dd524d75
images/plate_000047.png,जेएच९७एलएन६९४,short_state,झारखंड,,९७,एलएन,६९४,two_line,ITFDevanagari.ttc#4,clean,04316909462e559153bf238ea6aa46bee39e93040c920a0e9548a372d2cb25dd
images/plate_000048.png,शिलांग१७डब्ल्यूएच५८०२,city,मेघालय,शिलांग,१७,डब्ल्यूएच,५८०२,one_line,Devanagari Sangam MN.ttc#1,mild,36af18466da37c847a2ea9e862b37807fed9fcfac002e809e6d5675539d8f328
images/plate_000049.png,जम्मू और कश्मीर ४५ यूई २३९९,full_state,जम्मू और कश्मीर,,४५,यूई,२३९९,two_line,Devanagari Sangam MN.ttc#1,clean,a84fdb6f0b73b35d3b6c6d932eec71ed7f2f06b7af23d64cdb55e024ab824c65
images/plate_000050.png,कोलासिब ८१ आईएस ६४,city,मिजोरम,कोलासिब,८१,आईएस,६४,two_line,ITFDevanagari.ttc#4,difficult,b2ab8cf22be022a77ccf0a63b9c60d294d9235dc68ec8ed238370d70448c5e27
images/plate_000051.png,लेह ५० केवी ५४८२,city,लद्दाख,लेह,५०,केवी,५४८२,one_line,ITFDevanagari.ttc#3,medium,6ac1890a68bb46debcaba13bfd6f82f6a12fc3b01a08a35f909cbaf2304f7d7f
images/plate_000052.png,लक्षद्वीप ८८ सीयू ८३३१,full_state,लक्षद्वीप,,८८,सीयू,८३३१,one_line,ITFDevanagari.ttc#1,mild,12d9b94718d8e4a6d91ed965f278b72efc7b776a91c2f1cc277636bf0f26a876
images/plate_000053.png,टीएन२२बीएन३८९१,short_state,तमिलनाडु,,२२,बीएन,३८९१,two_line,ITFDevanagari.ttc#9,clean,a4822db2b489b105035082e93ee4dbbd79b7438ac8a71e8dabc6b76da3aaaba3
images/plate_000054.png,राउरकेला२१ज़ेडटी२५६,city,ओडिशा,राउरकेला,२१,ज़ेडटी,२५६,one_line,DevanagariMT.ttc#0,mild,29d61a0a763bf9af386db7cfa698f0f7fba7c0ed44fd3c1a4d9e76db1d9e6d4d
images/plate_000055.png,जीरो १३ यूके २२५४,city,अरुणाचल प्रदेश,जीरो,१३,यूके,२२५४,one_line,Shree714.ttc#0,medium,4b812babda5a05d485dd9ce41efa96554c95c09f88d3055b42b2b906efc4f132
images/plate_000056.png,ओडिशा३१जेएन६,full_state,ओडिशा,,३१,जेएन,६,one_line,Devanagari Sangam MN.ttc#1,medium,46cf6873a8ffdc301a006fa737ff8d5867fa42bba0540f3f21c928a6d4c525d6
images/plate_000057.png,सीएच-२३-वीओ-७८४०,short_state,चंडीगढ़,,२३,वीओ,७८४०,one_line,Devanagari Sangam MN.ttc#1,mild,3ce21d6c315892eeb2d41894622096bb9b8f91044ce034f6ae1769998b74a8b9
images/plate_000058.png,छत्तीसगढ़-४८-एमएक्स-६३३४,full_state,छत्तीसगढ़,,४८,एमएक्स,६३३४,one_line,ITFDevanagari.ttc#6,clean,aecb760a0cf877ef7666b1d42a9ae49f16f60d7dda1b128c0ff4c67066ed06ec
images/plate_000059.png,केरल-केएल-३८-टीडब्ल्यू ७२७२,full_state,केरल,,३८,टीडब्ल्यू,७२७२,one_line,Devanagari Sangam MN.ttc#1,clean,85dcfa7c7b7c3556f1e1806168848469ea757d0f116e8eb68a43d8fc4b8f5cd3
images/plate_000060.png,तवांग-०९-यूएल ९२९३,city,अरुणाचल प्रदेश,तवांग,०९,यूएल,९२९३,two_line,Shree714.ttc#3,clean,53ad21fb7ddf44bef0425ae20618a88f46495a400408c0c536a596cc37c933d5
images/plate_000061.png,लुंगलेई७९पीजी८७३,city,मिजोरम,लुंगलेई,७९,पीजी,८७३,one_line,Devanagari Sangam MN.ttc#1,medium,65fcfb06e5b6e62a872941aac9b8e6711138b591960181ccccf43c73b561766c
images/plate_000062.png,पटियाला-४८-आरई-१४१२,city,पंजाब,पटियाला,४८,आरई,१४१२,one_line,Shree714.ttc#1,clean,2f3091489e9f991eab9b0ce9b1d2347293d033e05ceb1f97e1209ecd111ce39f
images/plate_000063.png,पीबी७६ई०९०७,short_state,पंजाब,,७६,ई,०९०७,two_line,ITFDevanagari.ttc#4,clean,350a9ff0be39a004a6945188e65cda7e348703260941041d047f78c426ce1a48
images/plate_000064.png,ओडिशा २२ एसई ९९१४,full_state,ओडिशा,,२२,एसई,९९१४,two_line,Arial Unicode.ttf,difficult,cd5d2b697502487764156739ef79af21f31a2c1d980a814c7ef4094d57982ce9
images/plate_000065.png,दादरा और नगर हवेली और दमन और दीव ५२ एल १७३९,full_state,दादरा और नगर हवेली और दमन और दीव,,५२,एल,१७३९,two_line,ITFDevanagari.ttc#2,clean,b9baeb2ff3b5959cf680d47a418e87ee9e56c240ec586af5188d794ec79ae78c
images/plate_000066.png,मिजोरम ४० सीएम ३९४४,full_state,मिजोरम,,४०,सीएम,३९४४,one_line,Shree714.ttc#0,clean,a92f0cb03f298c7fda53cf3136d7ceea8fbc525f4528e9b87679a1d3c23542df
images/plate_000067.png,एमएन-७३-एलआर-६३२९,short_state,मणिपुर,,७३,एलआर,६३२९,one_line,ITFDevanagari.ttc#3,mild,a86145c4251056e1d0b7ea4ff08576a96463a037ee76fea42b9ef6f76b77663e
images/plate_000068.png,एसके ६५ आरपी ४९११,short_state,सिक्किम,,६५,आरपी,४९११,one_line,ITFDevanagari.ttc#5,mild,fb94c84ffaf29eb40884815ed6c4a1eec5c96c5e976db680cd82a46c1ce86a1d
images/plate_000069.png,चेन्नई३९६८,city,तमिलनाडु,चेन्नई,८०,एमई,३९६८,two_line,ITFDevanagari.ttc#8,clean,4b7e0cf74967192c2466fef89ef09d9331d79775a60433a696e7fffe2054c36c
images/plate_000070.png,एनएल४९एफओ५६०८,short_state,नागालैंड,,४९,एफओ,५६०८,one_line,ITFDevanagari.ttc#3,medium,3a1f9bff4978d76bbb8a95e41561016b92f18c61def11bf32ef86a234a4fd080
images/plate_000071.png,जम्मू और कश्मीर ५१ वायज़ेड ०४३,full_state,जम्मू और कश्मीर,,५१,वायज़ेड,०४३,one_line,ITFDevanagari.ttc#9,clean,4c73f0be233a942701775bed5bb36f63cd97c3f3d15de794c546ab4f859d9f7f
images/plate_000072.png,मंडी ०७ क्यूएच ०८६०,city,हिमाचल प्रदेश,मंडी,०७,क्यूएच,०८६०,two_line,DevanagariMT.ttc#1,mild,772f927a5888694f255700c5d9a8141e9928d3dd71984544b0c27d50eae2b723
images/plate_000073.png,डीडी ०५ एमज़ेड ४७४२,short_state,दादरा और नगर हवेली और दमन और दीव,,०५,एमज़ेड,४७४२,one_line,Shree714.ttc#3,mild,155668525fe3a81bcc0f60967cda2ff765a274bb9cb415bfd0e917ec1bf64107
images/plate_000074.png,ओडिशा १२ डीएफ ७८२२,full_state,ओडिशा,,१२,डीएफ,७८२२,one_line,ITFDevanagari.ttc#2,clean,6c48eaff66ceab9a47b2d6e8fe53d08d6f823cad05393ae5959589cd60094b81
images/plate_000075.png,केएल-५२ डब्ल्यूवाय १९२३,short_state,केरल,,५२,डब्ल्यूवाय,१९२३,one_line,DevanagariMT.ttc#1,mild,5434d41c992af1390bdeaf68b9d403574865bca1b99eb1540c7b3b1b734ea2a6
images/plate_000076.png,एलए १५ आर ३३१२,short_state,लद्दाख,,१५,आर,३३१२,one_line,ITFDevanagari.ttc#5,medium,b7f46745d1aa39616f94782d0c7d5ced2decd32a1b009e794385fd4d22a09f3d
images/plate_000077.png,जबलपुर ७७३४,city,मध्य प्रदेश,जबलपुर,०९,बीसी,७७३४,one_line,ITFDevanagari.ttc#8,clean,50047bbfcb7cd8bac58adbe72b5fa71cc482d7d29331e4a25ab1ff14655bc35c
images/plate_000078.png,सीजी  ६९  ईएक्स  ००५६,short_state,छत्तीसगढ़,,६९,ईएक्स,००५६,one_line,ITFDevanagari.ttc#9,difficult,5d6a6ff56a03689fd0402c6c3ad1c0b511841e1360762cf002df7c7093e9fe77
images/plate_000079.png,हिमाचल प्रदेश एचपी ०९ बी ०७९७,full_state,हिमाचल प्रदेश,,०९,बी,०७९७,two_line,Shree714.ttc#2,mild,87ef70ad0dbe284512875909c299293c12ffa0362f4528ec3e17a76ff5bb0009
images/plate_000080.png,केए २४ पीएच ४९२७,short_state,कर्नाटक,,२४,पीएच,४९२७,one_line,ITFDevanagari.ttc#9,clean,970318ad1bd40f7305e83a053ff99b9f4d18667b6fae4655ef4a533319af336e
images/plate_000081.png,एमएच ६९ जीबी-९९११,short_state,महाराष्ट्र,,६९,जीबी,९९११,one_line,ITFDevanagari.ttc#1,clean,33d3daffaec335188c14436ecf1a2ba20486e6f4bbb7bb82691dc4ec86f2f3a8
images/plate_000082.png,हिमाचल प्रदेश ७८ एमएच ४६३७,full_state,हिमाचल प्रदेश,,७८,एमएच,४६३७,one_line,ITFDevanagari.ttc#3,medium,27ea91a744864e550f536642866405ee62614ea7c096b5f713cb66858ec86bc2
images/plate_000083.png,जेएच ६३ यूएक्स २७५६,short_state,झारखंड,,६३,यूएक्स,२७५६,one_line,DevanagariMT.ttc#1,clean,27b7aa4145bf74a40e4fff2a7faa2bc48e5a25101a008849c2a0843c46960725
images/plate_000084.png,उदयपुर३७९१,city,त्रिपुरा,उदयपुर,९८,ई,३७९१,two_line,ITFDevanagari.ttc#6,clean,51b077b8e01a6ae34bc0afd5cbabfd71b9fadaef1ec8dd2b3dafd0905da46f7f
images/plate_000085.png,वाराणसी ५६ एफडी ८५९१,city,उत्तर प्रदेश,वाराणसी,५६,एफडी,८५९१,one_line,ITFDevanagari.ttc#6,clean,93b73f18b1832c93fd4c9b5f1f2ea994aa9ba8fded2cb164b7f0ab1aa27677d6
images/plate_000086.png,टीएस८४सीएम९०५५,short_state,तेलंगाना,,८४,सीएम,९०५५,two_line,ITFDevanagari.ttc#0,mild,b72bc020b5c5ff5fe6b28bed15cfbd43cbec296e5fa9c875ad815d9299dc705a
images/plate_000087.png,एमएन१०एसएच६३७५,short_state,मणिपुर,,१०,एसएच,६३७५,one_line,ITFDevanagari.ttc#7,clean,80696fb789222acb8c66ed6eb7aece61275d75d50e2532c08e44f1d69041cba1
images/plate_000088.png,पोलिस५३४७,government,मध्य प्रदेश,,९९,टीएम,५३४७,one_line,ITFDevanagari.ttc#2,clean,b088d148962fd47c963f236cd7628894d4684e81b3012816c60c2d137ea5ee93
images/plate_000089.png,सोलापूर-८२-एम-१७४५,city,महाराष्ट्र,सोलापूर,८२,एम,१७४५,two_line,DevanagariMT.ttc#0,clean,d2adc19d313962c51fbdf23f8c7b64cfc81d0c345acb0e4ee65242618ddfecf0
images/plate_000090.png,एपी ५३ सीएक्स ३९७७,short_state,आंध्र प्रदेश,,५३,सीएक्स,३९७७,two_line,ITFDevanagari.ttc#7,clean,be213447d6c1b174aa06421c3278a845fdd8eb8f2b3e3f494f5751e673bf11e7
images/plate_000091.png,सिक्किम-२६-ईजे-७,full_state,सिक्किम,,२६,ईजे,७,one_line,ITFDevanagari.ttc#5,mild,74fef8764c929b5ff4db52bbd8ba420159c438d6d34d9f7552fa9d2a55fd2d82
images/plate_000092.png,यूके-९१-ज़ेड-११३३,short_state,उत्तराखंड,,९१,ज़ेड,११३३,one_line,ITFDevanagari.ttc#8,mild,7de5077ab1e07dc19ead8b6c8f7be29492385279463a30d9b5d4d95c6c03e61e
images/plate_000093.png,जम्मू६९सीडी५८१६,city,जम्मू और कश्मीर,जम्मू,६९,सीडी,५८१६,one_line,ITFDevanagari.ttc#7,clean,1af71304b80c8550cff75b281947e4d1bd5cddc489ac19b104f6b858e1a72b18
images/plate_000094.png,जयपुर ५८ ओवाय ८१९९,city,राजस्थान,जयपुर,५८,ओवाय,८१९९,two_line,Devanagari Sangam MN.ttc#1,mild,852c306039e02aaaffce0c47a4259eb840344a96f9e3991c6f3ee2042767c060
images/plate_000095.png,देहरादून-२६-एनएम-४,city,उत्तराखंड,देहरादून,२६,एनएम,४,two_line,Shree714.ttc#2,medium,17716428c687360905c898aba8a0f9419f1857ccbc606630dca009e9f48eef33
images/plate_000096.png,आरजे५५यू२८३८,short_state,राजस्थान,,५५,यू,२८३८,two_line,DevanagariMT.ttc#1,clean,45d9020217ebed1de2819baf364a57f309769203d297e156d344eb2d61facba2
images/plate_000097.png,मणिपुर एमएन ५७ सीएस ९७,full_state,मणिपुर,,५७,सीएस,९७,two_line,ITFDevanagari.ttc#4,medium,84be0376ef285634746a426ecbc03bc0b8a0764897e039788142fdd55ddd3308
images/plate_000098.png,सीएच २७ एसडब्ल्यू ९९९८,short_state,चंडीगढ़,,२७,एसडब्ल्यू,९९९८,one_line,DevanagariMT.ttc#1,medium,c6b8772df463470ef67c7226b1123f3ac2490d5fca1fc9f63bdfdc532c5d705f
images/plate_000099.png,पश्चिम बंगाल-डब्ल्यूबी-८७-ईएस-६७८६,full_state,पश्चिम बंगाल,,८७,ईएस,६७८६,one_line,Devanagari Sangam MN.ttc#1,clean,c59253dc5d9f4e7d89df3ead7adafbf71de2c8a0f0c023eb8f80b7f5345a53c5
images/plate_000100.png,बिहार-५९-डब्ल्यूएल-८७५६,full_state,बिहार,,५९,डब्ल्यूएल,८७५६,one_line,Shree714.ttc#0,mild,e3b838b46d58969d3accee574dd39fa8b22e3b1c0afcbc0b3421990a319b5304
images/plate_000101.png,महाराष्ट्र एमएच ८४ एम ३८३६,full_state,महाराष्ट्र,,८४,एम,३८३६,one_line,ITFDevanagari.ttc#1,mild,a14a3fb1a57efa35ebe3e1bf8c35e75367db1dba01b5530d50d94349b73a0786
images/plate_000102.png,एमएच९७यूवी५४३,short_state,महाराष्ट्र,,९७,यूवी,५४३,one_line,ITFDevanagari.ttc#0,clean,5b8c417896370d01fc466f1f87bc4f05b040a2d46bce859cc5a75240305633ac
images/plate_000103.png,सिक्किमएसके५०एनके४०५९,full_state,सिक्किम,,५०,एनके,४०५९,one_line,ITFDevanagari.ttc#4,mild,e2c45c56b060cd2095069d2aa8ea543ad6360b6bc361e1d0b19845fe100cd6ab
images/plate_000104.png,शासकीय वाहन,government,त्रिपुरा,,९८,वायसी,२,one_line,ITFDevanagari.ttc#7,medium,2b3fa3883a213dc0577d7515b5bade1a48dfb7dd2114882b6b051d41e27c8ed3
images/plate_000105.png,असम-१२-डीओ-०९०१,full_state,असम,,१२,डीओ,०९०१,two_line,DevanagariMT.ttc#0,clean,fe3ad04d5999648174aa9b578a0b5f304c0846e33323f59142800057108a5b10
images/plate_000106.png,सीजी०४एनआई४३०८,short_state,छत्तीसगढ़,,०४,एनआई,४३०८,one_line,Devanagari Sangam MN.ttc#1,mild,dd8ff1b9ccdee095aa04b4502b5087a0c9baccb4a32ce70086667725a5a8bcdc
images/plate_000107.png,एचपी ३२ एक्सके १२७६,short_state,हिमाचल प्रदेश,,३२,एक्सके,१२७६,two_line,Devanagari Sangam MN.ttc#0,clean,a74c0b28b30745985e1b5a04afb24bd243fe591dbf2025288676a0f846160caa
images/plate_000108.png,केए८०एलएस३२०१,short_state,कर्नाटक,,८०,एलएस,३२०१,two_line,ITFDevanagari.ttc#2,clean,6ea18d3186761cac7dc5200ab882449b19584dfa0a73dea3a937117c4a4bfa2b
images/plate_000109.png,बीआर ६८ एनपी २३३२,short_state,बिहार,,६८,एनपी,२३३२,one_line,ITFDevanagari.ttc#2,clean,1b1ee9791cfd6e330cbe987b906ddbc8a01ec9e37ae05549f4dc027ecc2ea590
images/plate_000110.png,मणिपुर-७६-एनवी-३८७९,full_state,मणिपुर,,७६,एनवी,३८७९,one_line,ITFDevanagari.ttc#9,clean,23e38a8daa50352da1578f53dd079598fc8bca96f1c6b5fa72444f94052207f7
images/plate_000111.png,जालंधर-९९-जे-१९६४,city,पंजाब,जालंधर,९९,जे,१९६४,two_line,Devanagari Sangam MN.ttc#0,medium,f2436b8c7bd1b53f69801b8a6d3871fd8c0a517b1296b07a26d35f424e3fc99e
images/plate_000112.png,बीआर७६सीए३२३९,short_state,बिहार,,७६,सीए,३२३९,two_line,DevanagariMT.ttc#1,clean,7a012be4b1d7f85e744f6cf5bd9c33040a65638cba7079d09a0d05474aa4ecc4
images/plate_000113.png,एमपी२४ओई७९,short_state,मध्य प्रदेश,,२४,ओई,७९,one_line,Shree714.ttc#0,mild,82802b9527349df0e8b1401ae9c2d668f8327385bd005419fa4cb0ff35fa8702
images/plate_000114.png,मध्य प्रदेश ७५ एफडी-३९५१,full_state,मध्य प्रदेश,,७५,एफडी,३९५१,one_line,ITFDevanagari.ttc#6,clean,bb178e0a285030b057dfa7a70868aa11731d3d929036ec3c52f60a04adfd026a
images/plate_000115.png,आरजे ७३ ज़ेडपी २८७६,short_state,राजस्थान,,७३,ज़ेडपी,२८७६,one_line,ITFDevanagari.ttc#2,difficult,7c20aaeade2e54bdc9ce9ef4dbf3161b22ae80a5ec4ac95d6c043e1f9f842cb6
